Son of Saul^2015^László Nemes^G\xc3\xa9za R\xc3\xb6hrig, Levente Moln\xc3\xa1r, Urs Rechn
Paddington^2015^Paul King^Hugh Bonneville, Sally Hawkins, Julie Walters
Spy^2015^Paul Feig^Melissa McCarthy, Rose Byrne, Jude Law
Timbuktu^2015^Abderrahmane Sissako^Ibrahim Ahmed, Abel Jafri, Toulou Kiki
Mustang^2015^Deniz Gamze Ergüven^G\xc3\xbcnes Sensoy, Doga Zeynep Doguslu, Tugba Sunguroglu
Amy^2015^Amy Brenneman^Amy Brenneman, Tyne Daly, Karle Warren
Sicario^2015^Denis Villeneuve^Emily Blunt, Josh Brolin, Benicio Del Toro
GETT: The Trial of Viviane Amsalem^2015^Ronit Elkabetz^Ronit Elkabetz, Simon Abkarian, Gabi Amrani
Phoenix^2015^Sofia Coppola^Nicole Kidman, Kirsten Dunst, Elle Fanning
Tangerine^2015^Sean Baker^Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian
What We Do In The Shadows^2015^Jemaine Clement^Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer
Seymour: An Introduction^2015^Ethan Hawke^Seymour Bernstein, Jiyang Chen, Ethan Hawke
Bridge of Spies^2015^Steven Spielberg^Tom Hanks, Mark Rylance, Alan Alda
Ex Machina^2015^Alex Garland^Alicia Vikander, Domhnall Gleeson, Oscar Isaac
Court^2015^Jason Hepler^Timothy Woodward Jr., Ayesha Curry, Joe Gadbois
Iris^2015^Jalil Lespert^Romain Duris, Charlotte Le Bon, Jalil Lespert
3 And 1/2 Minutes^10 Bullets^2015^Marc Silver^Lucia McBath, Ron Davis, Michael David Dunn
About Elly^2015^Asghar Farhadi^Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti
Kurt Cobain: Montage Of Heck^2015^Brett Morgen^Aaron Burckhard, Chad Channing, Don Cobain
Heart of a Dog^2015^Laurie Anderson^Laurie Anderson, Archie, Jason Berg
'71^2015^Yann Demange^Jack OConnell, Sam Reid, Sean Harris
The Look of Silence^2015^Joshua Oppenheimer^Adi Rukun, M.Y. Basrun, Amir Hasan
